Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Prev Close,Var%,Var_from_Ini_%,Profit/Loss,Present_Value,Invested,OK,Adj Close
2020-09-01,195.3,196.26,195.3,196.08,92.0,0.0,0.0,197.12,-0.5275974025974017,-11.755175517551745,-184.66999999999985,1372.5600000000002,1557.23,True,
2020-09-02,197.68,197.68,197.52,197.3,71.0,0.0,0.0,196.08,0.6221950224398309,-11.206120612061197,-176.12999999999988,1381.1000000000001,1557.23,True,
2020-09-03,199.04,199.04,194.94,194.98,293.0,0.0,0.0,197.3,-1.1758743030917507,-12.250225022502251,-192.37000000000012,1364.86,1557.23,True,
2020-09-04,196.7,196.7,192.9,193.34,73.0,0.0,0.0,194.98,-0.8411119089137276,-12.988298829882982,-203.8499999999999,1353.38,1557.23,True,
2020-09-08,196.96,196.96,194.98,195.32,368.0,0.0,0.0,193.34,1.0241026171511347,-12.097209720972096,-189.99,1367.24,1557.23,True,
2020-09-09,194.86,197.52,194.86,197.68,143.0,0.0,0.0,195.32,1.2082736022936746,-11.035103510351027,-173.47000000000003,1383.76,1557.23,True,
2020-09-10,197.78,197.78,197.78,197.78,1.0,0.0,0.0,197.68,0.050586806960750685,-10.990099009900984,-172.76999999999998,1384.46,1557.23,True,
2020-09-11,197.62,197.62,197.18,197.48,97.0,0.0,0.0,197.78,-0.15168368894732387,-11.125112511251126,-174.87000000000012,1382.36,1557.23,True,
2020-09-14,198.34,198.34,197.52,198.1,195.0,0.0,0.0,197.48,0.31395584362974294,-10.846084608460844,-170.52999999999997,1386.7,1557.23,True,
2020-09-15,198.46,198.92,198.46,198.7,182.0,0.0,0.0,198.1,0.3028773346794411,-10.576057605760576,-166.33000000000015,1390.8999999999999,1557.23,True,
2020-09-16,199.08,199.52,199.08,199.66,60.0,0.0,0.0,198.7,0.4831404126824479,-10.14401440144014,-159.61000000000013,1397.62,1557.23,True,
2020-09-17,198.76,200.3,198.76,199.98,156.0,0.0,0.0,199.66,0.1602724631874164,-10.0,-157.37000000000012,1399.86,1557.23,True,
2020-09-18,199.46,199.46,198.42,198.76,909.0,0.0,0.0,199.98,-0.610061006100604,-10.549054905490548,-165.91000000000008,1391.32,1557.23,True,
2020-10-02,195.06,196.74,195.06,196.54,54.0,0.0,0.0,198.76,-1.1169249345944876,-11.548154815481547,-181.45000000000005,1375.78,1557.23,True,
2020-10-05,198.1,198.62,198.1,198.78,195.0,0.0,0.0,196.54,1.139717105932636,-10.540054005400535,-165.76999999999998,1391.46,1557.23,True,
2020-10-06,199.96,200.1,199.88,199.96,229.0,0.0,0.0,198.78,0.5936210886407167,-10.009000900090001,-157.51,1399.72,1557.23,True,
2020-10-07,199.4,199.58,199.0,199.02,284.0,0.0,0.0,199.96,-0.47009401880375723,-10.432043204320422,-164.08999999999992,1393.14,1557.23,True,
2020-10-08,200.2,200.5,200.2,200.45,15.0,0.0,0.0,199.02,0.7185207516832381,-9.78847884788479,-154.08000000000015,1403.1499999999999,1557.23,True,
2020-10-09,200.2,200.5,200.2,201.15,15.0,0.0,0.0,200.45,0.3492142678972465,-9.473447344734467,-149.18000000000006,1408.05,1557.23,True,
2020-10-12,201.55,201.85,201.4,201.9,408.0,0.0,0.0,201.15,0.37285607755406236,-9.13591359135913,-143.93000000000006,1413.3,1557.23,True,
2020-10-13,200.9,200.9,200.85,199.98,26.0,0.0,0.0,201.9,-0.9509658246656838,-10.0,-157.37000000000012,1399.86,1557.23,True,
2020-10-14,200.7,200.9,200.7,200.9,350.0,0.0,0.0,199.98,0.4600460046004784,-9.585958595859578,-150.93000000000006,1406.3,1557.23,True,
2020-10-15,196.82,197.42,196.82,197.38,25.0,0.0,0.0,200.9,-1.7521154803384786,-11.170117011701167,-175.57000000000016,1381.6599999999999,1557.23,True,
2020-10-16,198.54,199.3,198.54,199.0,41.0,0.0,0.0,197.38,0.8207518492248544,-10.441044104410437,-164.23000000000002,1393.0,1557.23,True,
2020-10-19,198.9,198.9,198.44,198.74,284.0,0.0,0.0,199.0,-0.13065326633164842,-10.55805580558055,-166.04999999999995,1391.18,1557.23,True,
2020-10-20,198.58,198.58,198.22,197.94,10.0,0.0,0.0,198.74,-0.40253597665291796,-10.918091809180915,-171.6500000000001,1385.58,1557.23,True,
2020-10-21,197.22,197.22,196.0,195.76,83.0,0.0,0.0,197.94,-1.1013438415681587,-11.899189918991897,-186.91000000000008,1370.32,1557.23,True,
2020-10-23,193.3000030517578,194.27999877929688,193.3000030517578,194.25999450683602,1488.0,0.0,0.0,195.76,-0.7662471869452236,-12.574259897913576,-197.41003845214777,1359.8199615478522,1557.23,True,
2020-10-26,193.8600006103516,193.8600006103516,190.8800048828125,190.97999572753903,175.0,0.0,0.0,194.25999450683602,-1.6884581859604508,-14.050406963303761,-220.3700299072268,1336.8599700927732,1557.23,True,
