Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Prev Close,Var%,Var_from_Ini_%,Profit/Loss,Present_Value,Invested,OK
2020-08-07,53.86,54.23,53.76,54.14,56301,0,0,53.7,0.819366852886394,27.089201877934272,434.6099999999999,1949.04,1514.43,True
2020-08-10,54.3,54.5,54.13,54.28,42382,0,0,54.14,0.2585888437384609,27.417840375586856,439.64999999999986,1954.08,1514.43,True
2020-08-11,54.8,55.0,54.61,54.81,57273,0,0,54.28,0.9764185703758255,28.661971830985916,458.73,1973.16,1514.43,True
2020-08-12,54.76,55.04,54.72,55.03,53612,0,0,54.81,0.40138660828314965,29.178403755868544,466.64999999999986,1981.08,1514.43,True
2020-08-13,54.84,54.94,54.66,54.84,30548,0,0,55.03,-0.34526621842631,28.73239436619719,459.8100000000002,1974.2400000000002,1514.43,True
2020-08-14,54.86,54.86,54.36,54.65,45692,0,0,54.84,-0.34646243617798556,28.286384976525813,452.9699999999998,1967.3999999999999,1514.43,True
2020-08-17,54.61,54.75,54.48,54.69,37170,0,0,54.65,0.07319304666055793,28.380281690140833,454.40999999999985,1968.84,1514.43,True
2020-08-18,54.6,54.83,54.28,54.5,36025,0,0,54.69,-0.34741268970560624,27.93427230046948,447.56999999999994,1962.0,1514.43,True
2020-08-19,54.5,54.81,54.5,54.81,30432,0,0,54.5,0.5688073394495508,28.661971830985916,458.73,1973.16,1514.43,True
2020-08-20,54.37,54.61,54.34,54.58,29730,0,0,54.81,-0.4196314541142221,28.122065727699525,450.4499999999998,1964.8799999999999,1514.43,True
2020-08-21,54.71,55.05,54.64,54.93,25738,0,0,54.58,0.6412605349945144,28.94366197183098,463.04999999999995,1977.48,1514.43,True
2020-08-24,55.29,55.47,55.26,55.43,43670,0,0,54.93,0.910249408337882,30.117370892018773,481.04999999999995,1995.48,1514.43,True
2020-08-25,55.84,55.89,55.38,55.42,115334,0,0,55.43,-0.018040772145044848,30.09389671361502,480.69000000000005,1995.1200000000001,1514.43,True
